script	scriptLabel	language	code	label_en
http://www.wikidata.org/entity/Q139030056	Q139030056	http://www.wikidata.org/entity/Q33578	ig	Igbo
http://www.wikidata.org/entity/Q30588252	Q30588252	http://www.wikidata.org/entity/Q14759	ase	American Sign Language
http://www.wikidata.org/entity/Q2639681	Abakada alphabet	http://www.wikidata.org/entity/Q33284	bcl	Central Bikol
http://www.wikidata.org/entity/Q19606346	Adlam	http://www.wikidata.org/entity/Q33454	ff	Fula
http://www.wikidata.org/entity/Q19606346	Adlam	http://www.wikidata.org/entity/Q3915357	fuf	Pular
http://www.wikidata.org/entity/Q4058023	Adyghe alphabet	http://www.wikidata.org/entity/Q27776	ady	Adyghe
http://www.wikidata.org/entity/Q11282355	Ainu orthography	http://www.wikidata.org/entity/Q27969	ain	Ainu
http://www.wikidata.org/entity/Q378074	Ajami script	http://www.wikidata.org/entity/Q33243	bm	Bambara
http://www.wikidata.org/entity/Q378074	Ajami script	http://www.wikidata.org/entity/Q33454	ff	Fula
http://www.wikidata.org/entity/Q130316831	Akai script	http://www.wikidata.org/entity/Q3912765	kcg	Tyap
http://www.wikidata.org/entity/Q16733598	Akan Braille	http://www.wikidata.org/entity/Q28026	ak	Akan
http://www.wikidata.org/entity/Q582471	Albanian alphabet	http://www.wikidata.org/entity/Q8748	sq	Albanian
http://www.wikidata.org/entity/Q4062913	Altai alphabet	http://www.wikidata.org/entity/Q1991779	alt	Southern Altai
http://www.wikidata.org/entity/Q2212449	Arabic Braille	http://www.wikidata.org/entity/Q13955	ar	Arabic
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q56499	arq	Algerian Arabic
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q13955	ar	Arabic
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q199700	ar	Arabic Wikipedia
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q9292	az	Azerbaijani
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q257829	bqi	Bakhtiari
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q33025	bej	Beja
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q49741	tzm	Central Atlas Tamazight
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q2374285	arz	Egyptian Arabic Wikipedia
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q56475	ha	Hausa
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q56232	acm	Iraqi Arabic
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q36094	kr	Kanuri
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q9252	kk	Kazakh
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q938216	khw	Khowar
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q36368	ku	Kurdish
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q9255	ky	Kyrgyz
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q56593	apc	Levantine Arabic
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q56426	ary	Moroccan Arabic
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q97393767	ary	Moroccan Arabic Wikipedia
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q20442276	lrc	Northern Luri Wikipedia
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q58680	ps	Pashto
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q33274	shy	Shawiya
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q34053	sgh	Shughni
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q36811	ckb	Sorani
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q3449805	azb	South Azerbaijani
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q1496597	sdh	Southern Kurdish
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q12952748	luz	Southern Luri
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q9264	uz	Uzbek
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q34208	wbl	Wakhi
http://www.wikidata.org/entity/Q8196	Arabic alphabet	http://www.wikidata.org/entity/Q10199	diq	Zazaki
http://www.wikidata.org/entity/Q2339258	Arabic chat alphabet	http://www.wikidata.org/entity/Q29919	arz	Egyptian Arabic
http://www.wikidata.org/entity/Q2339258	Arabic chat alphabet	http://www.wikidata.org/entity/Q56240	tu	Tunisian Arabic
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q27776	ady	Adyghe
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q56499	arq	Algerian Arabic
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q13955	ar	Arabic
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q13389	ba	Bashkir
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q216286	bsk	Burushaski
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q33350	ce	Chechen
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q32332	dar	Dargwa
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q29919	arz	Egyptian Arabic
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q33657	glk	Gilaki
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q33522	kbd	Kabardian
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q64362994	ks-arab	Kashmiri in Arabic script
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q64362991	kk-arab	Kazakh in Arabic script
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q938216	khw	Khowar
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q36209	kum	Kumyk
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q64362996	ku-arab	Kurdish in Arabic script
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q36163	ku	Kurmanji
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q56483	lki	Laki
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q107526440	ms-arab	Malay in Jawi script
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q56312	mwr	Marwari
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q13356	mzn	Mazanderani
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q56426	ary	Moroccan Arabic
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q107548681	oak	Noakhali
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q19933293	lrc	Northern Luri
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q36730	ota	Ottoman Turkish
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q58680	ps	Pashto
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q9168	fa	Persian
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q3915357	fuf	Pular
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q135196777	sgh-arab	Shughni in Arabic script
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q36811	ckb	Sorani
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q1496597	sdh	Southern Kurdish
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q1066787	uzs	Southern Uzbek
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q135972638	shi-arab	Tachelhit in Arabic script
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q34318	tly	Talysh
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q5885	ta	Tamil
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q34152	shi	Tashelhit
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q56240	tu	Tunisian Arabic
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q64362981	aeb-arab	Tunisian Arabic in Arabic script
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q13263	ug	Uyghur
http://www.wikidata.org/entity/Q1828555	Arabic script	http://www.wikidata.org/entity/Q135183640	wbl-arab	Wakhi in Arab script
http://www.wikidata.org/entity/Q30016797	Arabic-script alphabet	http://www.wikidata.org/entity/Q95397566	ky-arab	Kyrgyz Arabic alphabet
http://www.wikidata.org/entity/Q11932	Armenian alphabet	http://www.wikidata.org/entity/Q8785	hy	Armenian
http://www.wikidata.org/entity/Q11932	Armenian alphabet	http://www.wikidata.org/entity/Q180945	hyw	Western Armenian
http://www.wikidata.org/entity/Q2866751	Asomtavruli	http://www.wikidata.org/entity/Q8108	ka	Georgian
http://www.wikidata.org/entity/Q2866751	Asomtavruli	http://www.wikidata.org/entity/Q13359	xmf	Mingrelian
http://www.wikidata.org/entity/Q191272	Assamese alphabet	http://www.wikidata.org/entity/Q29401	as	Assamese
http://www.wikidata.org/entity/Q191272	Assamese alphabet	http://www.wikidata.org/entity/Q8559119	as	Assamese Wikipedia
http://www.wikidata.org/entity/Q4055408	Avar alphabet	http://www.wikidata.org/entity/Q29561	av	Avar
http://www.wikidata.org/entity/Q4829157	Avoiuli	http://www.wikidata.org/entity/Q35452	bi	Bislama
http://www.wikidata.org/entity/Q137732829	Azerbaijani Braille	http://www.wikidata.org/entity/Q9292	az	Azerbaijani
http://www.wikidata.org/entity/Q794182	Aztec script	http://www.wikidata.org/entity/Q13300	nah	nahuatl
http://www.wikidata.org/entity/Q3530287	Aṅga-lipi	http://www.wikidata.org/entity/Q28378	anp	Angika
http://www.wikidata.org/entity/Q16948817	Balbodh	http://www.wikidata.org/entity/Q1571	mr	Marathi
http://www.wikidata.org/entity/Q804984	Balinese	http://www.wikidata.org/entity/Q33070	ban	Balinese
http://www.wikidata.org/entity/Q804984	Balinese	http://www.wikidata.org/entity/Q107387552	ban	Balinese Wikisource
http://www.wikidata.org/entity/Q804984	Balinese	http://www.wikidata.org/entity/Q107530457	ban-bali	Balinese in Balinese script
http://www.wikidata.org/entity/Q123734863	Balochi Cyrillic Alphabet	http://www.wikidata.org/entity/Q33049	bal	Balochi
http://www.wikidata.org/entity/Q113557400	Balochi Roman Orthography	http://www.wikidata.org/entity/Q33049	bal	Balochi
